model,SmartMem,Mem Version,step,pub valid,pub avg %ile,pub median %ile,priv valid,priv avg %ile,priv median %ile,
Claude sonnet 4.6,yes,all delta update,step3,10/10,42.4,,,,,
Claude sonnet 4.6,yes,all caveat update,step3,10/10,47.3,,,,,
Claude sonnet 4.6,yes,v6（v5 + delta update）,step3,10/10,42.8,,4/5,21.7,,
Claude sonnet 4.6,yes,v7（v5 + mixed update）,step3,10/10,49.4,,4/5,26,,
Claude sonnet 4.6,yes,ACE,step4,10/10,49.5,,,,,
Claude sonnet 4.6,yes,all delta update,step4,10/10,46.6,,,,,
Claude sonnet 4.6,yes,all caveat update,step4,10/10,48.9,,,,,
Claude sonnet 4.6,yes,v8（v7+mixed update）,step4,10/10,52.6,,4/5,15.9,,
GPT-5.2,yes,v2 w/o per-turn,step1,9/10,26.7,0,4/5,13.5,,
GPT-5.2,yes,v2,step1,10/10,39.2,1 silver,4/5,24.7,,
GPT-5.2,yes,v2 + delta update,step2,10/10,42.6,1 silver,4/5,13.8,,
GPT-5.2,yes,v4（v2 + caveat update）,step2,10/10,41.5,1 silver 1 bronze,4/5,27,,
GPT-5.2,yes,v5 (v2 + mixed update),step2,10/10,35.6,,4/5,14,,
GPT-5.2,yes,v6（v5 + delta update）,step3,10/10,34.3,,4/5,14.8,,
GPT-5.2,yes,v7（v5 + mixed update）,step3,10/10,43.3,,4/5,23.9,,
